300	0.00102
301	0.00193
302	0.00292
303	0.00709
304	0.00947
305	0.01646
306	0.01858
307	0.02785
308	0.03784
309	0.04053
310	0.05094
311	0.08292
312	0.09338
313	0.10733
314	0.11969
315	0.13625
316	0.12348
317	0.17158
318	0.17594
319	0.2047
320	0.20527
321	0.25024
322	0.22203
323	0.21226
324	0.27537
325	0.27894
326	0.3812
327	0.39806
328	0.35116
329	0.42235
330	0.47139
331	0.40262
332	0.43623
333	0.42944
334	0.41497
335	0.46388
336	0.41519
337	0.3738
338	0.43411
339	0.46355
340	0.5018
341	0.47139
342	0.48934
343	0.51489
344	0.41843
345	0.45898
346	0.47778
347	0.49404
348	0.47511
349	0.46564
350	0.52798
351	0.55172
352	0.51791
353	0.5204
354	0.60498
355	0.6114
356	0.55387
357	0.45673
358	0.43006
359	0.46953
360	0.59817
361	0.52024
362	0.5342
363	0.60191
364	0.60628
365	0.62359
366	0.73532
367	0.72285
368	0.66759
369	0.69315
370	0.75507
371	0.69338
372	0.67444
373	0.61886
374	0.5564
375	0.5893
376	0.6748
377	0.71225
378	0.85595
379	0.74389
380	0.70077
381	0.76383
382	0.58678
383	0.45499
384	0.50968
385	0.67355
386	0.621
387	0.65147
388	0.63582
389	0.68543
390	0.79699
391	0.85138
392	0.79493
393	0.47975
394	0.49567
395	0.80772
396	0.75655
397	0.42619
398	0.85249
399	1.0693
400	1.1141
401	1.1603
402	1.2061
403	1.1613
404	1.1801
405	1.1511
406	1.1227
407	1.1026
408	1.1514
409	1.2299
410	1.0485
411	1.1738
412	1.2478
413	1.1971
414	1.1842
415	1.2258
416	1.2624
417	1.2312
418	1.1777
419	1.2258
420	1.1232
421	1.2757
422	1.2583
423	1.2184
424	1.2117
425	1.2488
426	1.2135
427	1.1724
428	1.1839
429	1.0963
430	0.87462
431	0.79394
432	1.3207
433	1.2288
434	1.1352
435	1.2452
436	1.3659
437	1.3943
438	1.2238
439	1.1775
440	1.3499
441	1.3313
442	1.425
443	1.4453
444	1.4084
445	1.4619
446	1.3108
447	1.4903
448	1.5081
449	1.5045
450	1.5595
451	1.6173
452	1.5482
453	1.4297
454	1.5335
455	1.5224
456	1.5724
457	1.5854
458	1.5514
459	1.5391
460	1.5291
461	1.5827
462	1.5975
463	1.6031
464	1.5544
465	1.535
466	1.5673
467	1.4973
468	1.5619
469	1.5682
470	1.5077
471	1.5331
472	1.6126
473	1.5499
474	1.5671
475	1.6185
476	1.5631
477	1.5724
478	1.623
479	1.5916
480	1.6181
481	1.6177
482	1.6236
483	1.6038
484	1.5734
485	1.5683
486	1.2716
487	1.4241
488	1.5413
489	1.4519
490	1.6224
